,,,,,,"Usage by your institution, 2008-2017 (except for downloads)",,,,,,,,,"OA articles in 1findr, 2008-2017",,,"Scopus, 2008-2017",,Subject Areas,,,Papers per journal/provider by your institution's authors (as measured in Scopus),,,,,,,,,,References to journal/provider by your institution's authors (as measured in Scopus),,,,,,,,,,OA papers in 1findr per journal/provider (intersection with Scopus),,,,,,,,,,% of OA papers in 1findr per journal/provider (intersection with Scopus),,,,,,,,,,Total papers in Scopus per journal/provider,,,,,,,,,,Downloads JR1,,,,JID,Journal Name(s) provided by the client
,Sort,Journal,ISSN/eISSN,Provider,Type,"Downloads 
JR1 2014-2017",Downloads JR1 2017,Downloads JR5 2017 in 2017,References,Papers,"Synthetic 
Usage","Journal 
Tier","Subfield 
,113,American Psychological Association,,American Psychological Association,Package,,14642.00,2228.00,"7,039",332,"83,770",10,2.5,17%,"17,583",43.80%,,"40,108",1.7,N/A,N/A,N/A,35,40,31,25,28,33,32,44,37,27,250,449,440,537,817,850,889,970,"1,046",791,"1,693","1,764","1,744","1,891","1,867","1,955","2,234","1,881","1,779",775,47.30%,48.50%,46.90%,47.80%,45.30%,45.60%,47.00%,42.90%,40.60%,23.50%,"3,576","3,635","3,721","3,954","4,125","4,287","4,749","4,383","4,380","3,298","16,617","14,751","14,642","7,192",,
,200,American Society of Civil Engineers,,American Society of Civil Engineers,Package,,2619.00,380.00,444,59,"10,710",10,13,83%,"3,898",14.90%,,"26,096",1.23,N/A,N/A,N/A,3,3,4,2,6,7,6,7,10,11,21,12,21,14,46,51,50,67,96,66,479,461,461,370,496,424,404,287,324,192,23.30%,22.80%,20.10%,17.80%,21.30%,15.10%,14.40%,9.80%,8.60%,6.30%,"2,053","2,022","2,289","2,078","2,330","2,806","2,812","2,921","3,753","3,032","2,538","2,362","2,619","1,605",,
,232,American Society of Mechanical Engineers,,American Society of Mechanical Engineers,Package,,4492.00,743.00,811,95,"18,020",10,9,0%,"4,138",17.50%,,"23,632",1.12,N/A,N/A,N/A,15,11,7,6,9,12,13,9,8,5,30,58,52,85,96,108,102,109,112,59,403,404,438,457,402,481,468,481,371,233,19.90%,18.90%,19.00%,19.90%,17.30%,18.60%,18.50%,18.40%,13.60%,11.20%,"2,030","2,139","2,307","2,301","2,319","2,580","2,535","2,614","2,727","2,080","7,036","3,795","4,492","2,037",,
,257,Annual Reviews,,Annual Reviews,Package,,3199.00,379.00,82,4,"4,017",11,7.5,41%,511,36.80%,,"1,389",7.51,N/A,N/A,N/A,0,0,0,1,0,0,2,0,0,1,0,0,1,6,5,3,14,6,35,12,0,13,61,66,53,45,80,90,79,24,N/A,72.20%,46.90%,48.50%,38.10%,30.60%,34.30%,40.70%,35.40%,16.90%,0,18,130,136,139,147,233,221,223,142,"2,602","2,856","3,199","1,529",,
,280,Association for Computing Machinery,,Association for Computing Machinery,Package,,2827.00,402.00,432,85,"13,229",13,8,50%,"28,465",69.90%,,"40,727",1.57,N/A,N/A,N/A,9,9,11,9,15,9,10,4,5,4,10,21,20,41,56,39,63,88,57,37,"2,258","2,210","2,701","2,576","3,479","3,684","3,614","3,736","3,111","1,096",76.30%,73.00%,73.40%,69.80%,72.90%,71.10%,70.70%,69.00%,66.80%,49.30%,"2,959","3,027","3,679","3,693","4,773","5,185","5,112","5,418","4,656","2,225","2,549","3,193","2,827","1,058",,
,360,BioOne,,BioOne,Package,,1825.00,127.00,"1,981",126,"22,156",12,13,78%,"33,950",43.50%,,"78,126",0.88,N/A,N/A,N/A,10,14,15,20,15,12,10,14,10,6,94,131,146,187,235,197,227,260,260,244,"3,578","3,658","3,869","3,931","3,781","3,695","3,825","3,399","3,062","1,152",44.60%,44.90%,47.40%,45.90%,45.00%,43.70%,45.30%,41.40%,38.50%,30.70%,"8,031","8,146","8,164","8,558","8,404","8,458","8,447","8,212","7,959","3,747","1,717","1,970","1,825",806,,
,469,Brill,,Brill,Package,,1161.00,236.00,67,25,"3,387",13,6,79%,"2,452",17.20%,,"14,262",0.74,N/A,N/A,N/A,2,1,1,1,4,0,3,6,5,2,5,0,1,6,5,2,13,16,13,6,283,260,292,289,301,217,279,279,169,83,22.50%,20.90%,21.20%,20.50%,21.10%,14.80%,16.20%,16.10%,9.40%,9.90%,"1,260","1,247","1,377","1,412","1,428","1,462","1,717","1,734","1,789",836,476,862,"1,161",456,,
,560,Cambridge UP,,Cambridge UP,Package,,13371.00,2327.00,"5,769",417,"82,133",13,7,60%,"90,813",46.40%,,"195,581",1.16,N/A,N/A,N/A,28,49,42,34,43,47,57,45,45,27,206,332,396,458,561,642,884,890,791,609,"8,656","9,355","9,257","9,487","9,797","10,210","10,900","9,250","8,831","5,070",48.40%,49.30%,50.90%,49.90%,47.30%,47.80%,45.50%,43.90%,44.10%,35.30%,"17,901","18,992","18,173","19,020","20,712","21,375","23,946","21,086","20,020","14,356","16,235","9,034","13,371","9,009",,
,982,DeGruyter,,DeGruyter,Package,,3735.00,822.00,676,72,"14,130",13,9,30%,"58,577",52.70%,,"111,104",0.6,N/A,N/A,N/A,9,6,7,6,8,9,11,7,7,2,30,41,52,47,57,86,88,92,116,67,"3,703","4,708","5,007","5,623","6,764","6,872","7,232","7,597","8,137","2,934",42.40%,48.70%,48.10%,52.40%,56.60%,56.70%,56.10%,53.30%,56.80%,48.30%,"8,724","9,659","10,412","10,730","11,948","12,110","12,893","14,243","14,315","6,070","1,409","2,383","3,735","1,291",,
,"1,309",Ebsco,,Ebsco,Package,,221646.00,199.00,"144,832","7,940","1,629,410",13,7,62%,"1,895,829",44.80%,,"4,230,337",1.07,N/A,N/A,N/A,668,736,694,834,903,827,905,865,908,600,"4,895","7,365","9,668","11,505","14,791","16,291","18,680","21,215","24,336","16,086","134,628","149,693","164,870","184,734","207,920","232,996","247,391","236,127","223,897","113,573",40.50%,42.10%,43.70%,44.90%,46.60%,48.10%,48.90%,47.40%,44.70%,35.70%,"332,022","355,391","377,418","411,320","446,418","484,236","505,887","498,085","501,406","318,154","160,004","296,948","221,646","98,958",,
